ra,dec,wid,hei,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,score,GLON,GLAT,reff
268.123165311065,-26.4884073202597,9.60011144073974,8.55740355339073,268.202796250336,-26.4170960656699,268.203216628466,-26.5594368767566,268.04321477112,-26.4173768803861,268.043433594337,-26.5597194582264,0.999339580535889,2.881441162850298,-0.043220621052941305,4.531887789760831
267.781965343744,-26.6180548112201,5.09757069834336,4.51911972832427,267.824430917149,-26.5804476696473,267.824400480151,-26.6557141853717,267.739558572166,-26.580395523233,267.73947140551,-26.6556618666283,0.99961793422699,2.6142110086211923,0.15312008363547586,2.399819384318912
268.011326428625,-26.851326535192,4.41432985884603,3.98811565133855,268.048102455991,-26.8184776903872,268.047710396546,-26.8845611017101,267.974962570286,-26.8180925075211,267.974530291677,-26.8841748411499,0.840269684791565,2.518235578959375,-0.1421165104261943,2.0979071714589126
268.241354407406,-27.5643403370512,2.75408307459998,2.43658013579719,268.263668867535,-27.5440357357725,268.264309415377,-27.5841082878747,268.2184080308,-27.5445719198551,268.219031315913,-27.5846454047024,0.947951853275299,2.008627503877956,-0.6811471985947033,1.2952358966521853
267.897718624463,-27.4760745257408,1.2428160658942,1.14919720963464,267.908069784146,-27.4664978831601,267.908076311893,-27.4856470624835,267.887362710795,-27.4665019873321,267.887365691017,-27.4856511699874,0.586525619029999,1.9293431050611263,-0.37393474852218533,0.5975451353275992
268.347696333614,-28.1006538613733,5.27676766318905,4.74448039769428,268.391315246451,-28.0611167719578,268.391684920704,-28.1398874357802,268.303738792984,-28.0614197925026,268.304046374318,-28.1401914452527,0.128785073757172,1.5943064145800685,-1.0344921224719144,2.5017754066456237
267.528232888871,-25.5781695843488,3.05133904214586,2.73264953000833,267.553656040068,-25.5558196065715,267.553207810861,-25.600941876047,267.503267315191,-25.5553977172135,267.502800389366,-25.6005191375631,0.993518829345703,3.390673396998029,0.8814356187022675,1.4438005575057755
267.749447914785,-26.8368195844571,3.97723993911995,3.60627137466111,267.782582738505,-26.8068233992135,267.782536053645,-26.8668718825181,267.716377460805,-26.8067673596071,267.716295406186,-26.8668156964899,0.99995744228363,2.4113736937738324,0.06617923877717403,1.8936080998062383
267.368722814249,-26.5972861227427,4.11277297236438,3.64162305349041,267.402987475558,-26.5675990025031,267.402310585017,-26.6276334047652,267.335151937068,-26.5669396872071,267.334441259352,-26.6269723964954,0.999382138252258,2.4425792382200964,0.4809745752979451,1.9350173687808594
267.502055358383,-26.8666754883952,11.580211443619,10.3795305497629,267.598483292502,-26.780676631582,267.598066331933,-26.9531725087297,267.406192040655,-26.7801803329003,267.405479768442,-26.9526724803689,0.995242714881897,2.272628830099102,0.24041448531528578,5.481723233887254
267.104020402409,-27.7531402992691,1.93566182539371,1.68549644007847,267.120148910858,-27.7392711238316,267.119961159494,-27.7671861546258,267.088083658851,-27.7390945472911,267.087887880434,-27.7670093713281,0.995055198669434,1.3305603499885605,0.08740501159118848,0.9031266682886863
267.66365722164,-27.0789996339857,1.03720579243941,0.86171348457853,267.672300051817,-27.0718438753801,267.672274789893,-27.0861805835767,267.655040756239,-27.071818692167,267.65501328861,-27.0861553848189,0.334866166114807,2.164185829701403,0.007897105065557745,0.4726981641671564
267.339110163609,-28.4597890468296,22.6940806260484,20.0109844869225,267.527945191822,-28.2944879407676,267.526918051517,-28.6265522025278,267.151866896376,-28.2930357944125,267.149710514721,-28.6250802496104,0.999768495559692,0.8317624637980039,-0.45440433428740146,10.655173571472487
267.175891451198,-28.1133738960299,2.98158341957105,2.60579350403958,267.200733178988,-28.0919076881248,267.200473053147,-28.1350889529596,267.151319450664,-28.0916590612256,267.151040121995,-28.1348398818097,0.996909081935883,1.0546996749662438,-0.15280571472633805,1.39368133969627
267.009471508976,-28.2715195180657,1.6579976238404,1.43231856092463,267.023286690356,-28.2597554709956,267.023105804033,-28.283455547946,266.995840144887,-28.2595835719306,266.995653396626,-28.2832834813906,0.933263838291168,0.8435410559898397,-0.10880145031838499,0.7705161858448429
